point_id,method,parameters_json,run_count,terminated_sentence_run_count,termination_failure_count,termination_success_rate,mean_bits_per_word,se_bits_per_word_runs,se_bits_per_word_context_clustered,mean_kl_bits,se_kl_bits_runs,se_kl_bits_context_clustered,mean_nll_nats,mean_carrier_tokens,mean_payload_bits,sentence_over_pilot_cap_256_count,max_carrier_tokens,zero_payload_count,zero_payload_rate,arithmetic_cache_runs_with_encode_trim,arithmetic_cache_total_encode_trim_events,sentence_guard_runs_with_escalation,sentence_guard_max_final_guard_tokens,transport_recovery_exact_prefix_rate,transport_recovery_failure_count
huffman_e8,huffman,"{""candidate_pool_exponent"":8}",240,240,0,1.0,4.2936927090278,0.0513503428938581,0.06040957864873398,0.5251057624063337,0.027664686266357506,0.032920927306587126,3.38146039516688,29.354166666666668,129.88333333333333,0,141,0,0.0,0,0,0,0,0.9416666666666667,14
arithmetic_t0.4_k300,arithmetic,"{""precision"":26,""temperature"":0.4,""topk"":300}",240,235,5,0.9791666666666666,1.001233292281423,0.028614564239865258,0.03464407045966949,0.8729720281539689,0.013962834331990089,0.02069966662325951,1.364579818249243,38.56170212765957,28.791489361702126,2,1930,4,0.01702127659574468,7,37445,6,8192,1.0,0
arithmetic_t0.5_k300,arithmetic,"{""precision"":26,""temperature"":0.5,""topk"":300}",240,239,1,0.9958333333333333,1.354230625111742,0.03814663342605819,0.046849033581200995,0.6565216827754736,0.011544374911460984,0.016544165926392556,1.443405766388878,44.82426778242678,37.54393305439331,2,2772,3,0.012552301255230125,3,9564,3,8192,1.0,0
arithmetic_t0.6_k300,arithmetic,"{""precision"":26,""temperature"":0.6,""topk"":300}",240,240,0,1.0,1.779330851076866,0.05025148851877534,0.0550243168193877,0.4786860020736554,0.007789084795011034,0.009669073799475394,1.6310935868759073,47.8375,67.64166666666667,2,2697,3,0.0125,2,3084,2,4096,0.9915611814345991,2
arithmetic_t0.7_k300,arithmetic,"{""precision"":26,""temperature"":0.7,""topk"":300}",240,240,0,1.0,2.266973415549314,0.051154235503123355,0.058156016351927464,0.3251405220855817,0.005290415656286898,0.007401085477494059,1.8561383439240131,34.96666666666667,69.55416666666666,1,1518,2,0.008333333333333333,1,596,1,2048,0.9915966386554622,2
arithmetic_t0.8_k300,arithmetic,"{""precision"":26,""temperature"":0.8,""topk"":300}",240,240,0,1.0,2.7113838377564234,0.05434772565068529,0.06582434958479524,0.19900045439331823,0.003775576515296914,0.005168414684581596,2.079449774165585,28.995833333333334,80.24583333333334,0,107,2,0.008333333333333333,0,0,0,1024,0.9957983193277311,1
arithmetic_t0.9_k300,arithmetic,"{""precision"":26,""temperature"":0.9,""topk"":300}",240,240,0,1.0,3.198813367762472,0.05144742690112091,0.061695358434263645,0.12859486526169714,0.003279908139904273,0.004582671422456657,2.373492396301863,29.233333333333334,94.9875,0,103,2,0.008333333333333333,0,0,0,1024,0.9915966386554622,2
arithmetic_t1.0_k300,arithmetic,"{""precision"":26,""temperature"":1.0,""topk"":300}",240,239,1,0.9958333333333333,3.7520964594587127,0.06342010610597863,0.07962499276328704,0.10084449568109179,0.0029388829429682723,0.00377949716455486,2.73266966862322,31.799163179916317,121.92887029288703,0,89,2,0.008368200836820083,1,7262,1,8192,0.9831223628691983,4
arithmetic_t1.1_k300,arithmetic,"{""precision"":26,""temperature"":1.1,""topk"":300}",240,240,0,1.0,4.166315752370318,0.05941467495516528,0.07930296281379544,0.12637820084864723,0.003125490498529658,0.004248716308008967,3.036792540485681,29.858333333333334,126.79166666666667,0,97,2,0.008333333333333333,0,0,0,1024,0.9831932773109243,4
arithmetic_t1.2_k300,arithmetic,"{""precision"":26,""temperature"":1.2,""topk"":300}",240,240,0,1.0,4.712295695100521,0.057800717984803955,0.0676814200057331,0.20086976933501402,0.002792913205467674,0.003718520091836996,3.48247696596133,31.604166666666668,149.89166666666668,0,118,1,0.004166666666666667,0,0,0,1024,0.9748953974895398,6
